,Li,Mg,Al,Si,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
CRESS Blank Water ,1.077,0.194,<1,<5,5.077,<10,0.039,<0.1,<0.01,<0.01,0.005,1.704,0.005,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
CRESS_001B Water,0.439,27.005,189.723,415.357,1399.94,<10,0.136,472.383,0.138,0.3,1.168,1.334,0.244,0.282,0.293,1.006,0.074,0.331,0.059,<0.01,0.056,0.011,0.053,<0.01,0.012,<0.01,<0.01,<0.01
CRESS_002B Water,2.296,24.749,186.58,423.279,1425.192,<10,0.167,442.125,0.128,0.284,1.125,1.421,0.257,0.197,0.295,0.947,0.067,0.332,0.046,<0.01,0.058,<0.01,0.042,<0.01,<0.01,<0.01,<0.01,<0.01
CRESS_003B Water,1.195,26.959,194.773,492.017,1394.035,<10,0.168,459.921,0.12,0.293,1.149,1.331,0.301,0.228,0.291,0.93,0.067,0.306,0.049,<0.01,0.06,<0.01,0.04,<0.01,0.017,<0.01,<0.01,<0.01
CRESS_004B Water,0.589,202.794,430.071,873.751,4400.642,143.99,11.156,219.892,0.227,0.417,1.414,3.23,9.685,12.646,0.25,0.658,0.076,0.405,0.098,<0.01,0.112,0.013,0.071,<0.01,0.031,<0.01,0.03,<0.01
CRESS_005B Water,1.66,193.584,388.752,812.87,4253.272,135.972,11.156,217.036,0.228,0.412,1.323,3.598,9.427,12.29,0.239,0.618,0.066,0.348,0.096,<0.01,0.103,0.013,0.06,<0.01,0.026,<0.01,0.029,<0.01
CRESS_006B Water,0.243,192.573,388.721,871.383,4079.39,144.388,11.51,210.599,0.214,0.419,1.363,2.829,9.747,12.87,0.226,0.621,0.064,0.359,0.102,<0.01,0.085,0.013,0.07,<0.01,0.029,<0.01,0.03,<0.01
CRESS_007B Water,1.413,465.055,2149.943,4454.763,1049.791,177.684,12.997,3004.559,0.339,1.114,1.963,6.014,3.814,6.042,0.625,1.175,0.162,0.72,0.142,0.022,0.142,0.021,0.116,0.01,0.053,<0.01,0.052,<0.01
CRESS_008B Water,0.543,514.143,2433.559,4484.185,1162.958,194.549,13.221,3424.085,0.373,1.241,2.12,7.09,4.334,7.231,0.66,1.202,0.172,0.727,0.156,0.025,0.154,0.021,0.122,0.013,0.064,<0.01,0.058,<0.01
CRESS_009B Water,<0.1,457.457,1701.859,3475.16,1110.359,196.913,11.531,2713.488,0.29,0.966,1.703,7.817,4.039,5.319,0.531,0.962,0.136,0.543,0.109,0.014,0.119,0.017,0.101,<0.01,0.044,<0.01,0.042,<0.01
CRESS_010B Water,<0.1,499.934,378.829,1185.591,3535.347,498.299,12.563,176.2,0.316,1.06,5.77,4.256,20.919,7.437,0.227,0.578,0.058,0.271,0.05,<0.01,0.046,<0.01,0.047,<0.01,0.019,<0.01,0.021,<0.01
CRESS_011B Water,1.189,531.459,391.955,1205.427,3860.92,531.83,12.879,177.43,0.292,1.069,5.608,3.874,21.386,7.751,0.222,0.544,0.053,0.245,0.036,<0.01,0.047,<0.01,0.043,<0.01,0.015,<0.01,0.009,<0.01
