,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,34S
0,2,153.0194911202975,153.01932874297052,153.01933221933908,5839956.519041895,35.295972765330234,1181007.6359275167,31.680332663845572,-1,-0.022718492568784845,0.9999063532919713,0.0,0.5999438119751828,5.0,0.5714285714285714,0.8571428571428571,O4,de-protonated,,0.0,,C7 H6 O4,7.0,6.0,4.0,,,,,
1,3,153.09225767402884,153.09209522252883,153.09210323803907,1959863.7253214563,23.39039849802418,1143010.7453501495,10.45582704861847,-1,-0.052357437628167386,0.9995027181704845,0.0,0.5997016309022907,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,
2,6,155.03516745744767,155.03500302548403,155.03498228379908,2056822.038610951,31.177139139972738,1137559.0662433428,11.185813923928842,-1,0.13378712754760783,0.9967575190133469,0.0,0.5980545114080081,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,
3,22,163.04025015586438,163.04007756409058,163.04006766422907,2611500.193593602,35.08402832262306,1134919.781584449,13.957568600859197,-1,0.06072042076496835,0.9993312279559177,0.0,0.5995987367735506,6.0,0.3333333333333333,0.8888888888888888,O3,de-protonated,,0.0,,C9 H8 O3,9.0,8.0,3.0,,,,,
4,27,165.01952590937105,165.01935130006478,165.01933221933908,8176993.336016216,51.93365776499618,1022060.3226386912,45.094527575563966,-1,0.1156272144019925,0.9975770342110565,0.0,0.5985462205266339,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,,
5,38,167.03515893103142,167.03498226713265,167.03498228379908,3119421.2510655965,71.55653209766753,1050233.9225989454,16.67443704656321,-1,-9.977810239925141e-05,0.9999999981935568,0.0,0.5999999989161341,5.0,0.5,1.0,O4,de-protonated,,0.0,,C8 H8 O4,8.0,8.0,4.0,,,,,
6,45,169.08718588573262,169.08700713014397,169.08701785760908,2450942.5557651035,72.5239460143404,1050423.4933367993,13.348331434246782,-1,-0.06344345796569668,0.9992699225445453,0.0,0.5995619535267271,3.0,0.3333333333333333,1.5555555555555556,O3,de-protonated,,0.0,,C9 H14 O3,9.0,14.0,3.0,,,,,
7,49,171.03007832607065,171.0298975900361,171.0298969033691,1589706.2220275714,48.852830492306126,1213343.8902516693,8.693979026252839,-1,0.0040148945062857865,0.9999970751643339,0.0,0.5999982450986003,4.0,0.7142857142857143,1.1428571428571428,O5,de-protonated,,0.0,,C7 H8 O5,7.0,8.0,5.0,,,,,
8,50,171.06646366241972,171.06628288929653,171.0662824127191,11564386.758995924,42.833476488206756,1050374.882092499,61.91166882331567,-1,0.002785922707272883,0.9999985917114483,0.0,0.599999155026869,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,
9,51,171.10285439969923,171.1026735894819,171.1026679220691,1618295.4617912665,65.05569645451834,1216278.0179662644,8.781796996214988,-1,0.03312287807270592,0.9998009479141237,0.0,0.5998805687484742,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,
10,54,173.0457375516018,173.04555476094802,173.04554696782907,2324115.9232071154,74.18772272830974,1049662.4579095312,12.574435573955336,-1,0.04503507365701095,0.9996320611269145,0.0,0.5997792366761486,3.0,0.7142857142857143,1.4285714285714286,O5,de-protonated,,0.0,,C7 H10 O5,7.0,10.0,5.0,,,,,
