,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C
0,1,151.04017993910307,151.04005720546724,151.04006766422907,1961170.129627704,34.19395121275244,1261340.6376321944,10.130306717470695,-1,-0.06924494935014831,0.9991303567647527,0.0,0.5994782140588516,5.0,0.375,1.0,O3,de-protonated,,0.0,,C8 H8 O3,8.0,8.0,3.0,,,,
1,5,153.0194277253567,153.01930352777268,153.01933221933908,1960428.3697704228,17.185831970717935,1235702.8575713611,10.162163027902993,-1,-0.18750288596246262,0.993641052478304,0.0,0.5961846314869824,5.0,0.5714285714285714,0.8571428571428571,O4,de-protonated,,0.0,,C7 H6 O4,7.0,6.0,4.0,,,,
2,8,159.06641800418066,159.0662893357791,159.0662824127191,5787675.959766434,44.39672764339101,1176458.1890133175,30.47587031356488,-1,0.043523114352358304,0.9996563478043395,0.0,0.5997938086826037,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,
3,37,171.0664380679182,171.06630053552277,171.0662824127191,4274465.430113254,72.76443868909521,1063610.7474773908,22.543649015922732,-1,0.10594024389405875,0.9979656127347318,0.0,0.598779367640839,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,
4,41,173.08206626920222,173.08192724899894,173.08193247717907,5591014.578606403,35.04403881448241,957507.7939365922,29.498943460307746,-1,-0.03020638869694774,0.9998344552198517,0.0,0.599900673131911,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,
5,44,175.06134456410715,175.0612040832256,175.06119703228907,1577335.0693509304,58.96192709982806,1043905.6961679895,8.309187637757672,-1,0.040276981060606364,0.9997056908708938,0.0,0.5998234145225363,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,
6,48,179.03511131551502,179.03496790294463,179.03498228379908,2511584.788735394,88.76050119118354,959777.2554084663,13.443363002429663,-1,-0.08032427109334557,0.9988299801653113,0.0,0.5992979880991868,6.0,0.4444444444444444,0.8888888888888888,O4,de-protonated,,0.0,,C9 H8 O4,9.0,8.0,4.0,,,,
7,49,179.07151892178717,179.07137548236219,179.07136779314908,3363366.022397063,88.34487926092784,1105312.643111618,17.988196624104148,-1,0.04293937775197162,0.9996655026540364,0.0,0.5997993015924218,5.0,0.3,1.2,O3,de-protonated,,0.0,,C10 H12 O3,10.0,12.0,3.0,,,,
8,51,181.01438087825017,181.01423600589715,181.01424683890906,7034337.547850375,93.40589232243377,1103508.6406321651,36.86836994031263,-1,-0.059846183946682584,0.999350340722843,0.0,0.5996102044337058,6.0,0.625,0.75,O5,de-protonated,,0.0,,C8 H6 O5,8.0,6.0,5.0,,,,
9,53,185.0456697639467,185.04552191928715,185.04554696782907,2029583.5572032782,49.701523617511796,1036258.7397299425,10.533819982946467,-1,-0.13536419721996623,0.9966807521093072,0.0,0.5980084512655843,4.0,0.625,1.25,O5,de-protonated,,0.0,,C8 H10 O5,8.0,10.0,5.0,,,,
10,54,185.08205853202514,185.0819106605414,185.08193247717907,2264367.4200350773,26.03508526360286,965347.025140727,11.882403791247073,-1,-0.11787556658582729,0.9974820096256932,0.0,0.5984892057754159,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,
11,56,187.06135685708045,187.06120752669614,187.06119703228907,3692450.5443933206,44.53902669818103,996779.2147536156,19.304924121972455,-1,0.056101464284074594,0.9994290761079783,0.0,0.599657445664787,3.0,0.625,1.5,O5,de-protonated,,0.0,,C8 H12 O5,8.0,12.0,5.0,,,,
