,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O
0,2,151.04020953825875,151.04009165062448,151.04006766422907,1922759.595307838,37.76737959835646,1356135.7813683199,9.793607509567279,-1,0.15880816114529997,0.9954343128995119,0.0,0.5972605877397071,5.0,0.375,1.0,O3,de-protonated,,0.0,,C8 H8 O3,8.0,8.0,3.0,,,,,
1,6,153.0922160955333,153.09209668345008,153.09210323803907,1706751.4312704257,21.27226114083333,1563814.4539700872,8.720478176072142,-1,-0.04281467726827359,0.9996674423414983,0.0,0.599800465404899,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,
2,11,159.0664198623958,159.0662960135028,159.0662824127191,12511164.015376126,26.97732025740103,1111541.486811038,64.97120896772506,-1,0.08550387618759538,0.9986743239547309,0.0,0.5992045943728385,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,
3,12,159.1028030867912,159.10267921088447,159.1026679220691,1841089.0276069676,15.541201076731879,1116285.7833753007,9.35081142535812,-1,0.07095302381735157,0.9990869442360683,0.0,0.5994521665416409,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,
4,47,169.05078749002067,169.0506562309923,169.05063234825906,1712033.9905009305,66.17867450917447,1065185.3861797957,8.72568754176872,-1,0.14127562206376365,0.9963850514234829,0.0,0.5978310308540897,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,
5,54,171.0664287751601,171.06629602091465,171.0662824127191,15600231.147871157,128.4512470371649,1103648.5145277274,78.68225948111925,-1,0.07954925638714522,0.9988524363918331,0.0,0.5993114618350999,3.0,0.5,1.5,O4,de-protonated,,0.0,,C8 H12 O4,8.0,12.0,4.0,,,,,
6,55,171.10281747317114,171.1026846919346,171.1026679220691,2286590.709931877,24.707188649901024,1287677.5024889037,11.700235354514952,-1,0.09801054369360689,0.9982585099777539,0.0,0.5989551059866524,2.0,0.3333333333333333,1.7777777777777777,O3,de-protonated,,0.0,,C9 H16 O3,9.0,16.0,3.0,,,,,
7,57,173.04566860679992,173.04553438458183,173.04554696782907,2246227.3248676066,23.66131918904549,1003490.3304792738,11.491860726651819,-1,-0.07271638861048918,0.9990410187658852,0.0,0.5994246112595312,3.0,0.7142857142857143,1.4285714285714286,O5,de-protonated,,0.0,,C7 H10 O5,7.0,10.0,5.0,,,,,
8,58,173.08208108359617,173.08194683437372,173.08193247717907,16087827.960916784,56.54500598467528,1087561.6692416861,83.34985114525344,-1,0.0829502793997595,0.9987522762152943,0.0,0.5992513657291766,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,,
9,62,175.0613259838878,175.06119026693267,175.06119703228907,3163238.0126122693,83.0020548287641,1048146.782775891,16.268849070414156,-1,-0.03864566516042707,0.9997290453816058,0.0,0.5998374272289635,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,
10,63,175.09771749318588,175.09758174924647,175.0975825416391,2180367.0311767496,23.938979451676023,1139746.814359249,11.184508150553697,-1,-0.004525434415935421,0.9999962840182534,0.0,0.599997770410952,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,
11,67,177.09224700472456,177.09210978196455,177.09210323803907,2960941.8627999383,50.26847208985006,957016.3021940038,14.992554474752463,-1,0.036952102098659574,0.9997522701570989,0.0,0.5998513620942593,5.0,0.18181818181818182,1.2727272727272727,O2,de-protonated,,0.0,,C11 H14 O2,11.0,14.0,2.0,,,,,
12,68,179.03511783105702,179.0349791680119,179.03498228379908,2956652.6706245127,44.32234945311753,1069622.2846460368,15.091532422987452,-1,-0.017403231227376723,0.9999450457005724,0.0,0.5999670274203435,6.0,0.4444444444444444,0.8888888888888888,O4,de-protonated,,0.0,,C9 H8 O4,9.0,8.0,4.0,,,,,
13,69,183.06641023731845,183.0662685865394,183.0662824127191,2827519.2579043186,125.85806928384044,947014.5641037505,14.367430591163062,-1,-0.07552553924201949,0.998965532694745,0.0,0.599379319616847,4.0,0.4444444444444444,1.3333333333333333,O4,de-protonated,,0.0,,C9 H12 O4,9.0,12.0,4.0,,,,,
14,72,185.04568099885395,185.04553788153052,185.04554696782907,2311386.8846741887,62.482127629934034,982907.9977074461,11.736700914391001,-1,-0.04910303812349878,0.9995626032426655,0.0,0.5997375619455994,4.0,0.625,1.25,O5,de-protonated,,0.0,,C8 H10 O5,8.0,10.0,5.0,,,,,
15,73,185.08207556606988,185.08193242178206,185.08193247717907,10598908.470425176,100.97855805142578,987860.6438547757,55.2192763837304,-1,-0.0002993107371677993,0.9999999837445717,0.0,0.599999990246743,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,,
16,76,187.06134463767063,187.06120002708343,187.06119703228907,7712198.296148817,69.77807830610948,939559.4343613882,39.25777988941437,-1,0.016009703802305108,0.9999534938569128,0.0,0.5999720963141476,3.0,0.625,1.5,O5,de-protonated,,0.0,,C8 H12 O5,8.0,12.0,5.0,,,,,
17,77,187.09773167628177,187.09758703874024,187.0975825416391,25895470.098678242,87.42536984713628,928525.6263684306,133.10971227896974,-1,0.02403612640909513,0.9999473587323396,0.9748585659319311,0.9899118416121763,2.0,0.4444444444444444,1.7777777777777777,O4,de-protonated,,0.0,,C9 H16 O4,9.0,16.0,4.0,,,,,
18,78,188.10108245839243,188.1009370776335,188.10093737670908,3326914.086988223,63.51938724534069,976554.4207536707,17.45658444923402,-1,-0.001589973971863176,0.9999995412946996,0.9748585659319311,0.9899431511495922,2.0,0.4444444444444444,1.7777777777777777,13C1 O4,de-protonated,,1.0,77.0,C8 H16 O4 13C1,8.0,16.0,4.0,,,,1.0,
19,82,189.04059785760828,189.0404517809728,189.04046158739908,2299716.2436598083,37.829746900403116,1062944.094514708,11.939866176557556,-1,-0.051874747844408,0.9995118426844656,0.0,0.5997071056106793,3.0,0.8571428571428571,1.4285714285714286,O6,de-protonated,,0.0,,C7 H10 O6,7.0,10.0,6.0,,,,,
20,83,189.07699650371313,189.07685040011916,189.07684709674908,5302496.75772964,33.448956552550655,934253.1342560784,27.130376547779996,-1,0.01747104486632717,0.9999446166068912,0.0,0.5999667699641347,2.0,0.625,1.75,O5,de-protonated,,0.0,,C8 H14 O5,8.0,14.0,5.0,,,,,
21,89,191.09265089739583,191.09250330104143,191.09249716120908,2132582.2928289315,50.35136920318875,1094580.7237925394,11.14283322498107,-1,0.032130159175231036,0.9998126995126203,0.0,0.5998876197075722,1.0,0.625,2.0,O5,de-protonated,,0.0,,C8 H16 O5,8.0,16.0,5.0,,,,,
22,96,193.08717628525912,193.08702721203647,193.08701785760908,7211578.289367227,64.76228253461562,1025322.4200375127,36.6530970411252,-1,0.04844669255711317,0.9995742157227199,0.0,0.5997445294336319,5.0,0.2727272727272727,1.2727272727272727,O3,de-protonated,,0.0,,C11 H14 O3,11.0,14.0,3.0,,,,,
23,97,193.12352855911098,193.12337945897315,193.12340336695908,1584549.8691225247,81.91113081185036,885424.5536623814,8.131819852358788,-1,-0.12379641989155293,0.9972230612835163,0.0,0.5983338367701098,4.0,0.16666666666666666,1.5,O2,de-protonated,,0.0,,C12 H18 O2,12.0,18.0,2.0,,,,,
24,100,194.0824279480795,194.0822781380027,194.08226682980907,2085456.0635504304,103.7931502648579,959672.5011455598,10.64273411810955,-1,0.058264950246708344,0.9993842068748496,0.0,0.5996305241249098,5.0,0.3,1.3,N1 O3,de-protonated,,0.0,,C10 H13 O3 N1,10.0,13.0,3.0,1.0,,,,
25,104,195.13919607596418,195.13904548355458,195.13905343141906,3651243.2118535815,103.11915138122517,880479.1486784674,18.80060079895123,-1,-0.04072923556428433,0.9996990453994131,0.0,0.5998194272396479,3.0,0.16666666666666666,1.6666666666666667,O2,de-protonated,,0.0,,C12 H20 O2,12.0,20.0,2.0,,,,,
26,109,197.05857046188797,197.05841844872663,197.0584341273991,4527265.328114432,109.5838927814535,871861.7643433083,22.869115407978914,-1,-0.07956356975124436,0.9988520236276736,0.0,0.5993112141766042,0.0,0.8333333333333334,2.5,P1 O5,de-protonated,,0.0,,C6 H15 O5 P1,6.0,15.0,5.0,,1.0,,,
27,110,197.08208502376075,197.08193299319495,197.08193247717907,5162995.601555731,52.076829491151045,931664.26556663,26.182271991002736,-1,0.0026182810433766704,0.9999987560982438,0.0,0.5999992536589462,4.0,0.4,1.4,O4,de-protonated,,0.0,,C10 H14 O4,10.0,14.0,4.0,,,,,
28,115,199.06135639510617,199.06120289969053,199.06119703228907,6514563.866118165,44.15679196457093,989118.933277113,33.39203411506716,-1,0.029475365077855708,0.9998423703239644,0.0,0.5999054221943786,4.0,0.5555555555555556,1.3333333333333333,O5,de-protonated,,0.0,,C9 H12 O5,9.0,12.0,5.0,,,,,
29,116,199.09773951472656,199.09758599238614,199.0975825416391,12284996.207391318,97.59863882629344,973320.2560682776,63.762636126118885,-1,0.01733193844195268,0.9999454950095191,0.0,0.5999672970057115,3.0,0.4,1.6,O4,de-protonated,,0.0,,C10 H16 O4,10.0,16.0,4.0,,,,,
30,117,199.13413875623368,199.13398520695668,199.13396805098907,1594606.749143787,26.542000305112733,951107.571470392,8.340194480221923,-1,0.08615289385223109,0.9986541360718424,0.0,0.5991924816431055,2.0,0.2727272727272727,1.8181818181818181,O3,de-protonated,,0.0,,C11 H20 O3,11.0,20.0,3.0,,,,,
31,124,201.04061814551784,201.04046318549882,201.04046158739908,3021919.2324149827,71.70247748234122,873458.8842598583,15.763540597846058,-1,0.007949144816853153,0.9999885345222324,0.0,0.5999931207133394,4.0,0.75,1.25,O6,de-protonated,,0.0,,C8 H10 O6,8.0,10.0,6.0,,,,,
32,125,201.07700133075247,201.07684634381306,201.07684709674908,14119745.089630425,76.56201765315897,952626.1087659085,71.78505929884953,-1,-0.0037445187171237715,0.9999974558349204,0.0,0.5999984735009523,3.0,0.5555555555555556,1.5555555555555556,O5,de-protonated,,0.0,,C9 H14 O5,9.0,14.0,5.0,,,,,
33,126,201.1133810371838,201.11322602332666,201.11323260609907,6286658.966492703,66.22984035232501,896471.2632542832,32.68356038033251,-1,-0.032731672247392304,0.9998056215996723,0.0,0.5998833729598034,2.0,0.4,1.8,O4,de-protonated,,0.0,,C10 H18 O4,10.0,18.0,4.0,,,,,
34,135,203.0562706788542,203.05611422754953,203.05611165185908,7920558.20374374,82.18997776241503,969719.2906125383,40.52886511937949,-1,0.012684624087277661,0.9999708053891126,0.0,0.5999824832334676,3.0,0.75,1.5,O6,de-protonated,,0.0,,C8 H12 O6,8.0,12.0,6.0,,,,,
35,136,203.0926650315186,203.0925085532898,203.09249716120908,9291627.336798383,61.78922847209202,954275.9353315051,47.86365202016179,-1,0.05609306538426167,0.9994292469913988,0.0,0.5996575481948393,2.0,0.5555555555555556,1.7777777777777777,O5,de-protonated,,0.0,,C9 H16 O5,9.0,16.0,5.0,,,,,
36,141,205.0719384655063,205.07178052315297,205.0717617163191,3666414.778892805,49.92271933665474,985532.5297419733,18.654738559447036,-1,0.09170854983284644,0.9984750972717045,0.0,0.5990850583630226,2.0,0.75,1.75,O6,de-protonated,,0.0,,C8 H14 O6,8.0,14.0,6.0,,,,,
37,150,207.08756894707088,207.08740951394472,207.0874117807791,6602243.097169715,52.14913094624366,964753.3161197372,33.98590180447709,-1,-0.010946268304162019,0.9999782589114413,0.0,0.5999869553468647,1.0,0.75,2.0,O6,de-protonated,,0.0,,C8 H16 O6,8.0,16.0,6.0,,,,,
38,151,207.10281377477156,207.1026543303712,207.1026679220691,2063286.5688560263,62.92089672742001,962620.3239624824,10.6062685582335,-1,-0.06562782618765513,0.9992188037015083,0.0,0.5995312822209049,5.0,0.25,1.3333333333333333,O3,de-protonated,,0.0,,C12 H16 O3,12.0,16.0,3.0,,,,,
39,152,207.13920825643794,207.1390487851223,207.13905343141906,4446357.960720319,44.04105448304819,904988.8646519235,22.952465259124168,-1,-0.022430810037618536,0.9999087098503638,0.0,0.5999452259102183,4.0,0.15384615384615385,1.5384615384615385,O2,de-protonated,,0.0,,C13 H20 O2,13.0,20.0,2.0,,,,,
40,159,209.00928086143674,209.00912000723167,209.00916145847907,1840834.6896581205,51.60566636944253,1087588.792286029,9.538348590434941,-1,-0.19832263384448195,0.9928886902662036,0.0,0.5957332141597221,7.0,0.6666666666666666,0.6666666666666666,O6,de-protonated,,0.0,,C9 H6 O6,9.0,6.0,6.0,,,,,
41,160,209.04572353491164,209.0455626537599,209.04554696782907,1791942.7498796938,67.30846800905289,836590.3080789921,9.249228794274844,-1,0.07503594819819975,0.9989788941757277,0.0,0.5993873365054366,6.0,0.5,1.0,O5,de-protonated,,0.0,,C10 H10 O5,10.0,10.0,5.0,,,,,
42,162,209.08207687986538,209.08191597183313,209.08193247717907,2554272.1696795207,75.87884863821877,927276.1695352225,13.226579503612406,-1,-0.07894200012513442,0.99886987999765,0.0,0.59932192799859,5.0,0.36363636363636365,1.2727272727272727,O4,de-protonated,,0.0,,C11 H14 O4,11.0,14.0,4.0,,,,,
43,163,209.15487981547858,209.15471885361433,209.15470349587906,5273810.642194375,64.95027204652104,1017112.9492143218,27.026189233848427,-1,0.07342763518175062,0.9990221764491867,0.0,0.599413305869512,3.0,0.15384615384615385,1.6923076923076923,O2,de-protonated,,0.0,,C13 H22 O2,13.0,22.0,2.0,,,,,
44,170,211.06136273690055,211.06120036545892,211.06119703228907,2375036.6611354933,106.9584206414679,858060.4930131059,12.101356513151485,-1,0.015792433143146198,0.999954747550164,0.0,0.5999728485300984,5.0,0.5,1.2,O5,de-protonated,,0.0,,C10 H12 O5,10.0,12.0,5.0,,,,,
45,171,211.09774771591432,211.09758531757328,211.0975825416391,4321315.039043683,42.21252656435229,1017627.5961873132,22.494041077825273,-1,0.013150004581824139,0.9999686239099161,0.0,0.5999811743459497,4.0,0.36363636363636365,1.4545454545454546,O4,de-protonated,,0.0,,C11 H16 O4,11.0,16.0,4.0,,,,,
46,172,211.1341361681278,211.13397374288482,211.13396805098907,7692602.071389903,77.3647523057378,950129.6975703983,39.45573578588435,-1,0.026958692642934635,0.9998681370317054,0.0,0.5999208822190232,3.0,0.25,1.6666666666666667,O3,de-protonated,,0.0,,C12 H20 O3,12.0,20.0,3.0,,,,,
47,176,213.04062640344526,213.04046256885007,213.04046158739908,1816109.701332765,54.96729193635921,943115.5854337822,9.220577282943662,-1,0.004606876026404469,0.9999961490662909,0.0,0.5999976894397745,5.0,0.6666666666666666,1.1111111111111112,O6,de-protonated,,0.0,,C9 H10 O6,9.0,10.0,6.0,,,,,
48,177,213.07701755562368,213.07685369412889,213.07684709674908,7676721.069650599,57.999417438753866,933811.3134603071,39.47657324867066,-1,0.03096244335587523,0.9998260651903661,0.0,0.5998956391142196,4.0,0.5,1.4,O5,de-protonated,,0.0,,C10 H14 O5,10.0,14.0,5.0,,,,,
49,178,213.11338670117203,213.113222812794,213.11323260609907,5030308.071345312,110.58669468074939,943963.3372058646,25.630079227165435,-1,-0.045953528847927576,0.9996169033440984,0.0,0.599770142006459,3.0,0.36363636363636365,1.6363636363636365,O4,de-protonated,,0.0,,C11 H18 O4,11.0,18.0,4.0,,,,,
50,182,215.05626725448573,215.05610193009144,215.05611165185908,8529844.724733898,137.59606942638425,935046.5654811213,43.77950931404437,-1,-0.045205725915574584,0.9996292678861375,0.0,0.5997775607316824,4.0,0.6666666666666666,1.3333333333333333,O6,de-protonated,,0.0,,C9 H12 O6,9.0,12.0,6.0,,,,,
51,183,215.09266472531925,215.09249937402515,215.09249716120908,15582514.780530069,57.18135433571227,872223.1660238988,79.97418217387067,-1,0.01028774178564205,0.9991675676610362,0.9808695515526745,0.9918483612176916,3.0,0.5,1.6,O5,de-protonated,,0.0,,C10 H16 O5,10.0,16.0,5.0,,,,,
52,184,215.12905365872876,215.12888828054128,215.12888267055905,7466651.245455055,92.43807003325027,912915.2633615449,38.10130070477398,-1,0.026077308425072738,0.9998766177851873,0.0,0.5999259706711124,2.0,0.36363636363636365,1.8181818181818181,O4,de-protonated,,0.0,,C11 H20 O4,11.0,20.0,4.0,,,,,
53,187,216.09599750085664,216.09583140807467,216.0958519962791,2059362.239231451,63.58070213065861,908815.3062133002,10.426545441701547,-1,-0.09527348272124989,0.9983543392367908,0.9808695515526745,0.9913604241631444,3.0,0.5,1.6,13C1 O5,de-protonated,,1.0,183.0,C9 H16 O5 13C1,9.0,16.0,5.0,,,,1.0,
54,190,217.07192092724614,217.07175411329152,217.0717617163191,13667630.759890262,80.58062152817692,916474.0015236132,69.61796316907294,-1,-0.03502541053330975,0.9997774272655428,0.0,0.5998664563593257,3.0,0.6666666666666666,1.5555555555555556,O6,de-protonated,,0.0,,C9 H14 O6,9.0,14.0,6.0,,,,,
55,191,217.1083178975902,217.10815105674064,217.1081472256691,9669910.557168122,62.647847415925476,838757.9164958674,49.46813665470792,-1,0.017645913345012327,0.9999435024202283,0.0,0.599966101452137,2.0,0.5,1.8,O5,de-protonated,,0.0,,C10 H18 O5,10.0,18.0,5.0,,,,,
56,194,219.08757595444413,219.08740765117642,219.0874117807791,4359690.734037305,72.67092174691676,876667.5066621925,22.145013576154525,-1,-0.01884910976262264,0.9999355353667196,0.0,0.5999613212200318,2.0,0.6666666666666666,1.7777777777777777,O6,de-protonated,,0.0,,C9 H16 O6,9.0,16.0,6.0,,,,,
57,198,221.0821028566375,221.08193307991203,221.08193247717907,5807581.931834172,48.34399580203288,941275.3819463186,29.933015292539142,-1,0.002726287764824152,0.9999986513572426,0.0,0.5999991908143456,6.0,0.3333333333333333,1.1666666666666667,O4,de-protonated,,0.0,,C12 H14 O4,12.0,14.0,4.0,,,,,
58,200,221.15489219941378,221.15472236891975,221.15470349587906,2401361.655891472,58.7099416313112,945393.6374343379,12.393080992159872,-1,0.08533863575705701,0.9986794394900915,0.0,0.5992076636940549,4.0,0.14285714285714285,1.5714285714285714,O2,de-protonated,,0.0,,C14 H22 O2,14.0,22.0,2.0,,,,,
59,208,223.0977379902381,223.09756672470812,223.0975825416391,3492788.9548160858,69.70445304597573,811227.0186003778,17.904589899139754,-1,-0.07089691785335726,0.9990883870011268,0.0,0.599453032200676,5.0,0.3333333333333333,1.3333333333333333,O4,de-protonated,,0.0,,C12 H16 O4,12.0,16.0,4.0,,,,,
60,209,223.13413281640752,223.13396152399756,223.13396805098907,5240272.66220583,73.76203455236251,897034.182587929,26.71362729205373,-1,-0.02925144732383121,0.9998447559965572,0.0,0.5999068535979343,4.0,0.23076923076923078,1.5384615384615385,O3,de-protonated,,0.0,,C13 H20 O3,13.0,20.0,3.0,,,,,
61,210,223.17051386527723,223.17034254599758,223.17035356033907,1807058.5232421146,49.87476771413777,1015471.5965177498,9.19713513730906,-1,-0.04935396348943432,0.999558122458487,0.0,0.5997348734750921,3.0,0.14285714285714285,1.7142857142857142,O2,de-protonated,,0.0,,C14 H24 O2,14.0,24.0,2.0,,,,,
62,218,225.0770160369727,225.07684330973413,225.07684709674908,2326947.5468795947,39.462665024386695,907766.4117635391,12.007587930613074,-1,-0.016825430939760688,0.9999486340805042,0.0,0.5999691804483025,5.0,0.45454545454545453,1.2727272727272727,O5,de-protonated,,0.0,,C11 H14 O5,11.0,14.0,5.0,,,,,
63,220,225.11343420613787,225.1132614520065,225.11323260609907,2818815.9815857336,66.75878837638979,894221.5888185921,14.320546299893858,-1,0.12813954599091204,0.9970250929898377,0.0,0.5982150557939026,4.0,0.3333333333333333,1.5,O4,de-protonated,,0.0,,C12 H18 O4,12.0,18.0,4.0,,,,,
64,221,225.149796004634,225.14962322365156,225.14961811544907,4991071.471827414,52.11591500121505,958732.2788664168,25.39044840512283,-1,0.022688035314195817,0.9999066042044484,0.0,0.599943962522669,3.0,0.23076923076923078,1.6923076923076923,O3,de-protonated,,0.0,,C13 H22 O3,13.0,22.0,3.0,,,,,
65,226,227.05628951052907,227.05611532182465,227.05611165185908,2865314.044454768,94.4814178657865,979288.5765323719,14.653945704474872,-1,0.016163253825335917,0.9999525975137529,0.0,0.5999715585082517,5.0,0.6,1.2,O6,de-protonated,,0.0,,C10 H12 O6,10.0,12.0,6.0,,,,,
66,227,227.0926656057698,227.09249139020807,227.09249716120908,10000358.8693839,104.11415354575962,891011.3868363401,50.71838442188672,-1,-0.025412556936470303,0.9998828276574112,0.0,0.5999296965944467,4.0,0.45454545454545453,1.4545454545454546,O5,de-protonated,,0.0,,C11 H16 O5,11.0,16.0,5.0,,,,,
67,228,227.12905705127403,227.1288828088437,227.12888267055905,7333687.732480767,60.57655026419432,849789.1618286767,37.840832419945066,-1,0.0006088378559239433,0.9999999327399618,0.0,0.599999959643977,3.0,0.3333333333333333,1.6666666666666667,O4,de-protonated,,0.0,,C12 H20 O4,12.0,20.0,4.0,,,,,
