,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
0,24,155.10790440752646,155.10776360721437,155.10775330249908,2947269.319052669,45.99055807975849,1140878.5349523798,15.57960196017123,-1,0.0664358490769314,0.9991994565396644,0.0,0.5995196739237986,2.0,0.2222222222222222,1.7777777777777777,O2,de-protonated,,0.0,,C9 H16 O2,9.0,16.0,2.0,,,,,,,,
1,31,156.99666332162388,156.99652065525902,156.99648877416908,1625356.5971429378,22.896864227324667,1103437.3645937317,8.577294521788259,-1,0.20306880865684973,0.9925455346020915,0.0,0.5955273207612549,4.0,0.5,1.0,S1 O3,de-protonated,,0.0,,C6 H6 O3 S1,6.0,6.0,3.0,,,1.0,,,,,
2,39,159.03005606576758,159.0299113896156,159.0298969033691,1776751.687109109,34.30164218040139,1240429.4952426078,9.157272873447639,-1,0.09109134056754072,0.9984955383536539,0.0,0.5990973230121923,3.0,0.8333333333333334,1.3333333333333333,O5,de-protonated,,0.0,,C6 H8 O5,6.0,8.0,5.0,,,,,,,,
3,48,162.07734006616903,162.0771923764797,162.07718144937908,8851791.414189145,47.206834813930556,1100405.411602145,45.63205820028295,-1,0.06741911798072374,0.9991755944964534,0.0,0.5995053566978721,1.0,0.6666666666666666,2.1666666666666665,N1 O4,de-protonated,,0.0,,C6 H13 O4 N1,6.0,13.0,4.0,1.0,,,,,,,
4,53,164.03548251676617,164.03533288958815,164.0353166364291,2783122.7586174803,29.02015544699928,1299759.3858367777,14.73889939538057,-1,0.09908329129160275,0.9982202134755634,0.0,0.598932128085338,6.0,0.375,0.875,N1 O3,de-protonated,,0.0,,C8 H7 O3 N1,8.0,7.0,3.0,1.0,,,,,,,
5,55,165.09223746248435,165.09208678936233,165.09210323803907,1635798.566320365,55.596123984094646,1238520.9967005097,8.678391665655491,-1,-0.09963333450466853,0.9982004161330865,0.0,0.5989202496798519,4.0,0.2,1.4,O2,de-protonated,,0.0,,C10 H14 O2,10.0,14.0,2.0,,,,,,,,
6,64,167.07155247833717,167.07139984551685,167.07136779314908,1801033.1392128204,26.20035590523941,1016024.3319443603,9.460564305049333,-1,0.19184835914654494,0.9933438879326734,0.0,0.596006332759604,4.0,0.3333333333333333,1.3333333333333333,O3,de-protonated,,0.0,,C9 H12 O3,9.0,12.0,3.0,,,,,,,,
7,67,169.05080315112983,169.0506485578504,169.05063234825906,3171489.249382689,40.001716372357286,1012939.9737536507,16.57461069191714,-1,0.09588601421705081,0.9983331283791963,0.0,0.5989998770275178,4.0,0.5,1.25,O4,de-protonated,,0.0,,C8 H10 O4,8.0,10.0,4.0,,,,,,,,
8,79,171.13920725358244,171.13905059083285,171.13905343141906,19670104.7864381,51.83516048754723,1008614.5418142724,102.75726538757746,-1,-0.016598118012288148,0.49997500629302255,0.9023989783818297,0.6609445951285454,1.0,0.2,2.0,O2,de-protonated,,0.0,,C10 H20 O2,10.0,20.0,2.0,,,,,,,,
9,87,173.0456917108875,173.04553315813664,173.04554696782907,3547101.513017208,59.39399291191632,1028377.3172713784,18.28262033304247,-1,-0.07980380122528943,0.9988450848529464,0.0,0.5993070509117678,3.0,0.7142857142857143,1.4285714285714286,O5,de-protonated,,0.0,,C7 H10 O5,7.0,10.0,5.0,,,,,,,,
10,99,174.04098643325057,174.04082689350622,174.04079594002908,1687089.3506623216,43.00650521950953,1026246.3591958302,8.880585953389954,-1,0.1778518477172132,0.994276985046752,0.0,0.5965661910280512,3.0,0.8333333333333334,1.5,N1 O5,de-protonated,,0.0,,C6 H9 O5 N1,6.0,9.0,5.0,1.0,,,,,,,
11,110,175.06135437223278,175.06119382041445,175.06119703228907,10894992.822556518,69.0310591073272,1015998.524197861,58.14682043058443,-1,-0.018347153350054622,0.999938922964848,0.0,0.5999633537789087,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,,,,
12,111,175.09774487420756,175.09758428629047,175.0975825416391,6596110.283454068,66.5650261338305,995075.2269772495,34.458163351799485,-1,0.009963880400875888,0.9999819861339742,0.0,0.5999891916803844,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,,,,
13,115,176.05661240372325,176.0564508645256,176.0564460044891,5365752.9818144515,58.90087925150591,1072720.4755537733,28.307200282824777,-1,0.027604990457299774,0.9998617392188413,0.0,0.5999170435313047,2.0,0.8333333333333334,1.8333333333333333,N1 O5,de-protonated,,0.0,,C6 H11 O5 N1,6.0,11.0,5.0,1.0,,,,,,,
14,124,177.0688060624235,177.06864351883115,177.06860488825907,4744729.9852191685,50.73156724838299,1117636.6736702616,24.508076034340398,-1,0.21816725840512086,0.991400782082758,0.0,0.5948404692496547,1.0,0.42857142857142855,2.142857142857143,P1 O3,de-protonated,,0.0,,C7 H15 O3 P1,7.0,15.0,3.0,,1.0,,,,,,
