,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
0,106,154.9987628472024,154.9985805929059,154.99859677444908,24690820.513409197,47.63843463691131,1111306.4404893063,128.694593324757,-1,-0.10439799785665352,0.4990121777298638,0.9390602752728998,0.6750314167470782,5.0,0.8333333333333334,0.6666666666666666,O5,de-protonated,,0.0,,C6 H4 O5,6.0,4.0,5.0,,,,,,
1,109,155.0351369576812,155.0349546526267,155.03498228379908,22654909.435056556,30.130474546896387,1009283.6066565785,116.7830549134688,-1,-0.17822540413354165,0.9948383478855507,0.976785911310228,0.9876173732554216,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,,
2,113,155.07153917903258,155.07135682317815,155.07136779314908,7697896.180350677,34.73224503095164,1122872.8322546186,39.35805524009559,-1,-0.0707414339989364,0.9990923793158429,0.0,0.5994554275895058,3.0,0.375,1.5,O3,de-protonated,,0.0,,C8 H12 O3,8.0,12.0,3.0,,,,,,
3,115,155.10792505017827,155.107742643544,155.10775330249908,1787135.385172413,21.311687050037577,1080643.2342888275,9.048187831651605,-1,-0.06871967947479304,0.9991434947596629,0.0,0.5994860968557977,2.0,0.2222222222222222,1.7777777777777777,O2,de-protonated,,0.0,,C9 H16 O2,9.0,16.0,2.0,,,,,,
4,133,156.03849601612995,156.0383123098786,156.03833711886907,2339352.8756860727,30.537725192910614,1023677.3444581388,11.937568871103066,-1,-0.15899291758994233,0.995423707694093,0.976785911310228,0.987968589140547,4.0,0.5714285714285714,1.1428571428571428,13C1 O4,de-protonated,,1.0,109.0,C6 H8 O4 13C1,6.0,8.0,4.0,,,,1.0,,
5,203,159.04531140650917,159.04512348889884,159.04515304465906,2424027.139559033,40.47063389095659,1490629.0219390101,12.400911055807896,-1,-0.18583251143250293,0.9937534925085633,0.0,0.5962520955051379,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,
6,207,159.10282995863338,159.10264196028214,159.1026679220691,1858055.7844485275,31.539503634763417,1011162.3290458518,9.631270131504872,-1,-0.16317631429501617,0.9951803069969894,0.0,0.5971081841981937,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,,
7,246,161.06101610149315,161.06082535033084,161.06080310911906,3828410.0504580988,34.04046896681918,1513170.8743748101,19.30418899871355,-1,0.13809202084798708,0.9965458606046699,0.0,0.597927516362802,6.0,0.2,1.0,O2,de-protonated,,0.0,,C10 H10 O2,10.0,10.0,2.0,,,,,,
8,290,163.06139451618756,163.06120094480733,163.06119703228907,2888421.1890707896,38.073269548207584,1185616.6224597185,14.702003703443113,-1,0.023994171045589298,0.9998955417741537,0.0,0.5999373250644923,1.0,0.8333333333333334,2.0,O5,de-protonated,,0.0,,C6 H12 O5,6.0,12.0,5.0,,,,,,
9,304,164.03552152497073,164.03532657726367,164.0353166364291,2388928.757423183,23.824559750289964,1384181.3665787762,12.35926232010409,-1,0.06060179473137077,0.9993338376175234,0.0,0.599600302570514,6.0,0.375,0.875,N1 O3,de-protonated,,0.0,,C8 H7 O3 N1,8.0,7.0,3.0,1.0,,,,,
