,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
0,35,152.03547992076727,152.0353195106686,152.0353166364291,2018996.2199502005,15.86127349333609,1293569.6396460643,10.230531312646871,-1,0.018905077862432288,0.9999351519849661,0.0,0.5999610911909796,5.0,0.42857142857142855,1.0,N1 O3,de-protonated,,0.0,,C7 H7 O3 N1,7.0,7.0,3.0,1.0,,,,,
1,56,153.09226668863715,153.09210496532495,153.09210323803907,2399644.342750129,13.23158502863485,1279834.9066852161,12.235092270353315,-1,0.011282658219868806,0.9999769021435729,0.0,0.5999861412861437,3.0,0.2222222222222222,1.5555555555555556,O2,de-protonated,,0.0,,C9 H14 O2,9.0,14.0,2.0,,,,,,
2,163,159.04532724085524,159.045158094464,159.04515304465906,2072380.1447118889,52.144297912842184,1201246.8339249834,10.599245892950387,-1,0.031750762873036936,0.9998170963226503,0.0,0.5998902577935902,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,
3,166,159.06645353106833,159.06628435825678,159.0662824127191,23542186.094874788,65.76147697020089,1071501.1193474804,121.8939243504809,-1,0.012230987362955876,0.4999864280899309,0.929618492764518,0.6718392539597657,2.0,0.5714285714285714,1.7142857142857142,O4,de-protonated,,0.0,,C7 H12 O4,7.0,12.0,4.0,,,,,,
4,167,159.10280211795606,159.10263289968609,159.1026679220691,2215008.062722801,67.60191185808769,1251251.6315747595,11.009505778076836,-1,-0.2201244231789015,0.9912464842216377,0.0,0.5947478905329826,1.0,0.375,2.0,O3,de-protonated,,0.0,,C8 H16 O3,8.0,16.0,3.0,,,,,,
5,198,161.02456013737688,161.02438851340875,161.0244175997691,3465605.831053435,22.28158058616646,1114890.1122756137,18.22280932795831,-1,-0.1806332280287116,0.9940971172621424,0.0,0.5964582703572855,7.0,0.3333333333333333,0.6666666666666666,O3,de-protonated,,0.0,,C9 H6 O3,9.0,6.0,3.0,,,,,,
6,202,161.0457169873505,161.0455453368726,161.04554696782907,23046993.15654382,69.66975656425114,1111583.083593815,117.24085021031257,-1,-0.010127299339522229,0.999981390398173,0.0,0.5999888342389038,2.0,0.8333333333333334,1.6666666666666667,O5,de-protonated,,0.0,,C6 H10 O5,6.0,10.0,5.0,,,,,,
7,205,161.06099626209306,161.06082459246971,161.06080310911906,3526321.3912913376,29.655321931269917,1235017.7025516243,18.290320448295574,-1,0.13338658590871993,0.9967768738255789,0.0,0.5980661242953473,6.0,0.2,1.0,O2,de-protonated,,0.0,,C10 H10 O2,10.0,10.0,2.0,,,,,,
8,273,165.01952890460248,165.0193522651893,165.01933221933908,47753944.402486525,40.72418364414979,1107167.5409861924,247.7761979639632,-1,0.12147576863294915,0.9986603215563892,0.989636315253094,0.9950507190350711,6.0,0.5,0.75,O4,de-protonated,,0.0,,C8 H6 O4,8.0,6.0,4.0,,,,,,
9,280,165.0559110199873,165.05573433480885,165.05571772868907,18576173.091952726,71.94128700201142,1030416.1709761013,93.26920932748112,-1,0.10060917610269661,0.49908251229556344,0.9112932940309507,0.6639668249897184,5.0,0.3333333333333333,1.1111111111111112,O3,de-protonated,,0.0,,C9 H10 O3,9.0,10.0,3.0,,,,,,
10,283,165.0922897705445,165.0921130396034,165.09210323803907,3731776.615305234,51.83915306196301,1041504.9988259019,19.162771849577133,-1,0.05937027953045498,0.9993606286954201,0.0,0.599616377217252,4.0,0.2,1.4,O2,de-protonated,,0.0,,C10 H14 O2,10.0,14.0,2.0,,,,,,
11,299,166.02286404949473,166.02268614738688,166.0226870544091,4722859.891838723,33.16942114590128,1026581.2166973626,24.137822102123177,-1,-0.005463242573029787,0.9999945843122023,0.989636315253094,0.995851276688559,6.0,0.5,0.75,13C1 O4,de-protonated,,1.0,273.0,C7 H6 O4 13C1,7.0,6.0,4.0,,,,1.0,,
12,304,166.05114668338254,166.05096874566323,166.0509667008891,1658105.906665391,49.03738034748955,1218757.3426721783,8.57391228283248,-1,0.012314135686936196,0.999972485873927,0.0,0.5999834915243561,5.0,0.375,1.125,N1 O3,de-protonated,,0.0,,C8 H9 O3 N1,8.0,9.0,3.0,1.0,,,,,
13,317,166.99879610139467,166.99861696989745,166.99859677444908,4480732.651859453,43.442878692269105,1115835.0943063637,23.05764417672696,-1,0.12093184470688986,0.9973499193592831,0.0,0.5984099516155699,6.0,0.7142857142857143,0.5714285714285714,O5,de-protonated,,0.0,,C7 H4 O5,7.0,4.0,5.0,,,,,,
