,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
0,16,151.0038349452534,151.0037109236397,151.00368215487907,1867225.1205201384,12.187072616940757,1578054.9701849506,10.015866211396574,-1,0.19051694769358068,0.9934356502304215,0.0,0.5960613901382529,6.0,0.5714285714285714,0.5714285714285714,O4,de-protonated,,0.0,,C7 H4 O4,7.0,4.0,4.0,,,,,,,,
1,80,155.0351223713314,155.03499369772888,155.03498228379908,16355180.995224193,55.76351574402993,1132103.0118757612,86.170986887705,-1,0.07362164093301671,0.9990170050825562,0.0,0.5994102030495337,4.0,0.5714285714285714,1.1428571428571428,O4,de-protonated,,0.0,,C7 H8 O4,7.0,8.0,4.0,,,,,,,,
2,140,159.0453070703182,159.04517376351671,159.04515304465906,1807342.937947351,47.93285333704637,1262766.9095974795,9.540976003097597,-1,0.13027028651098244,0.9969254887507275,0.0,0.5981552932504365,7.0,0.2,0.8,O2,de-protonated,,0.0,,C10 H8 O2,10.0,8.0,2.0,,,,,,,,
3,290,170.99366759661768,170.99352045229435,170.9935113940191,2529636.284967663,17.245148463166004,1366833.6949925616,13.448027262284624,-1,0.05297438001939424,0.9994909329031506,0.0,0.5996945597418903,5.0,1.0,0.6666666666666666,O6,de-protonated,,0.0,,C6 H4 O6,6.0,4.0,6.0,,,,,,,,
4,306,172.06168688862508,172.06153850501966,172.06153138491908,1611025.1602631884,45.73701697395093,1102610.1630020246,8.477869514064665,-1,0.04138112987473552,0.999689335914924,0.0,0.5998136015489544,3.0,0.5714285714285714,1.5714285714285714,N1 O4,de-protonated,,0.0,,C7 H11 O4 N1,7.0,11.0,4.0,1.0,,,,,,,
5,319,173.0609795652067,173.06083002171016,173.06080310911906,1700018.1984892385,65.50365361799787,1057833.7280497204,9.163222428314322,-1,0.15550945455359702,0.9956216051025977,0.0,0.5973729630615586,7.0,0.18181818181818182,0.9090909090909091,O2,de-protonated,,0.0,,C11 H10 O2,11.0,10.0,2.0,,,,,,,,
6,322,173.08211309167723,173.081963523647,173.08193247717907,11216079.131293822,65.3118115188198,974888.1625980211,60.116783186938484,-1,0.17937440086541578,0.9941788654827926,0.0,0.5965073192896755,2.0,0.5,1.75,O4,de-protonated,,0.0,,C8 H14 O4,8.0,14.0,4.0,,,,,,,,
7,343,175.01670661087329,175.01655479634383,175.0165693144491,2049224.0449710125,28.818208459623122,1176001.3103208411,10.93866422979572,-1,-0.08295274745292713,0.9987522020124735,0.0,0.599251321207484,3.0,0.6666666666666666,1.5,P1 O4,de-protonated,,0.0,,C6 H9 O4 P1,6.0,9.0,4.0,,1.0,,,,,,
8,345,175.02498251980282,175.0248306956604,175.0248115229391,59185200.12259109,80.91843669584131,1025374.8796140226,311.5279766441279,-1,0.10954287639682805,0.9987967938928888,0.9846319137464743,0.993130841834323,3.0,1.0,1.3333333333333333,O6,de-protonated,,0.0,,C6 H8 O6,6.0,8.0,6.0,,,,,,,,
9,351,175.06135516418735,175.06120329779563,175.06119703228907,23222355.186995983,75.1352438149802,1030994.6099975146,125.4141868280476,-1,0.03579037880730962,0.9998362222551134,0.9921014967785943,0.9967423320645057,2.0,0.7142857142857143,1.7142857142857142,O5,de-protonated,,0.0,,C7 H12 O5,7.0,12.0,5.0,,,,,,,,
10,353,175.07659320374597,175.0764413196541,175.07645317357907,2427404.8107313286,60.222380658073696,970658.63853036,12.88679337974947,-1,-0.06770713456420878,0.9991685386139624,0.0,0.5995011231683774,6.0,0.18181818181818182,1.0909090909090908,O2,de-protonated,,0.0,,C11 H12 O2,11.0,12.0,2.0,,,,,,,,
11,354,175.0977227016262,175.09757079299064,175.0975825416391,6330095.956656719,47.069703671332974,988946.5914900452,34.364782345998584,-1,-0.06709771940119949,0.9991834327255037,0.0,0.5995100596353022,1.0,0.5,2.0,O4,de-protonated,,0.0,,C8 H16 O4,8.0,16.0,4.0,,,,,,,,
