,Li,Mg,Al,Si,K,Ca,Sc,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Y,Mo,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
Blank Water Red Mud ,0.331,2.123,<1.397,6.929,<5.335,8.887,<0.052,<0.203,0.278,<0.247,<0.002,<0.031,0.119,1.374,0.045,0,<0.013,0.061,0,<0.001,0,0,0,0,0,0,0,0,<0.003,0,0,0
CRESS_022B Water RedMud-X1,0.607,8.857,16073.281,200.454,509.385,580.746,0.317,787.364,13.046,800.438,0.482,1.683,3.885,1.219,0.636,0.584,8.764,0.278,0.605,0.911,0.085,0.302,0.055,0.009,0.061,0.008,0.056,0.014,0.048,0.006,0.047,0.007
CRESS_023B Water RedMud-X1,1.217,35.813,17939.175,558.851,505.163,549.377,2.442,867.821,88.824,5961.228,1.581,11.698,9.789,9.764,2.261,5.219,8.629,2.174,5.595,8.157,0.728,2.741,0.443,0.103,0.491,0.072,0.51,0.122,0.368,0.053,0.364,0.06
CRESS_024B Water RedMud-X1,0.911,13.355,16660.092,264.976,479.351,630.058,0.597,851.69,44.87,1839.024,0.631,3.134,4.231,2.495,0.917,1.342,8.77,0.506,1.381,1.923,0.168,0.663,0.126,0.024,0.121,0.018,0.131,0.027,0.093,0.012,0.087,0.014
CRESS_025B Water RedMud-X2,2.344,125.64,2495.478,1077.082,2410.289,523.745,7.95,1033.228,390.775,15077.6,5.48,51.572,24.651,42.861,8.473,23.123,36.636,8.039,22.99,64.641,3.045,11.465,1.848,0.415,2.086,0.317,2.219,0.512,1.626,0.224,1.537,0.245
CRESS_026B Water RedMud-X2,3.96,155.132,2641.728,1103.049,2018.887,562.453,9.26,1069.161,378.987,19134.121,6.756,63.997,30.492,53.274,10.121,28.411,38.08,9.553,28.01,78.678,3.73,13.978,2.309,0.536,2.567,0.4,2.745,0.644,1.992,0.283,1.922,0.307
CRESS_027B Water RedMud-X2,2.405,113.725,2202.4,881.254,2361.982,457.684,6.672,983.381,343.6,13129.369,4.773,45.135,22.455,38.606,6.768,20.468,35.14,6.773,19.419,56.235,2.595,9.787,1.656,0.365,1.819,0.279,1.971,0.458,1.397,0.199,1.316,0.221
CRESS_028B Water RedMud-X3,0.84,26.954,2715.651,832.259,1471.222,618.131,2.24,1150.005,117.174,4230.989,1.82,14.58,12.312,11.734,3.019,7.297,25.977,2.321,7.865,32.26,1.011,3.854,0.602,0.133,0.678,0.103,0.687,0.159,0.487,0.068,0.465,0.074
CRESS_029B Water RedMud-X3,0.217,17.603,2124.73,548.647,1426.058,754.179,1.086,1121.794,61.089,2248.369,1.029,7.859,10.666,7.199,2.012,3.905,25.837,1.321,4.314,15.475,0.54,1.999,0.309,0.069,0.342,0.054,0.356,0.085,0.275,0.038,0.257,0.04
CRESS_030B Water RedMud-X3,0.68,19.982,2160.555,579.054,1351.653,761.347,1.45,1162.978,74.421,2808.074,1.224,9.637,10.873,7.971,2.262,4.648,25.931,1.557,5.179,18.049,0.675,2.41,0.363,0.077,0.413,0.064,0.435,0.101,0.301,0.042,0.288,0.048
Blank HCl Red Mud ,<0.107,<98.016,97.331,<155.958,<266.740,932.924,<2.608,<10.167,2.758,<12.364,0.162,<1.563,31.426,8.201,0.725,0.487,1.922,1.474,0.173,0.258,0.03,0.126,0,0.009,0,0,0.016,0.011,<0.135,0.007,0,0
CRESS_022C HCl RedMud-X1,16.273,3463.33,814077.034,912798.824,<266.740,348624.808,68.197,147.199,4998.567,10636.89,58.98,200.985,934.619,851.259,3398.51,2243.812,1.869,216.601,1163.262,1153.485,261.311,1099.496,228.281,53.122,251.905,34.54,204.032,43.569,116.332,14.462,86.333,12.341
CRESS_023C HCl RedMud-X1,97.518,7701.553,2150082.022,2937407.554,1341.76,801249.337,34.958,429.864,12443.725,22192.605,143.399,502.612,2177.312,2023.545,7667.559,5383.961,0.951,526.854,2900.979,2898.77,640.715,2647.291,553.701,132.136,616.951,83.657,502.47,104.716,280.742,35.482,208.107,29.17
CRESS_024C HCl RedMud-X1,50.519,3248.665,932670.805,1192432.414,<266.740,327630.22,78.294,168.731,4691.609,10930.901,62.415,222.04,973.017,899.627,3526.222,2425.059,<0.667,235.448,1273.92,1261.638,283.467,1186.328,246.944,58.515,284.357,37.706,226.303,45.929,127.275,15.916,92.873,13.162
CRESS_025C HCl RedMud-X2,146.291,7938.104,235094.272,314229.571,<266.740,726962.359,48.016,23.005,10314.414,10795.528,120.719,393.947,2671.113,3335.336,8408.229,4959.395,17.282,286.461,2013.115,1594.488,493.944,2217.078,501.288,114.501,553.415,76.157,448.406,92.44,249.119,29.581,170.885,24.045
CRESS_026C HCl RedMud-X2,198.66,9410.183,345494.9,425381.64,<266.740,922393.378,67.847,28.08,14451.628,14844.122,161.439,520.87,3622.421,4404.193,11028.857,7141.382,1.677,393.804,2865.486,2292.218,716.647,3155.428,707.089,168.08,806.988,107.406,643.009,131.833,355.216,42.642,246.757,34.434
CRESS_027C HCl RedMud-X2,153.552,8022.714,266099.289,337109.077,<266.740,723627.78,56.157,23.556,11392.517,11940.294,128.408,417.089,2916.902,3654.409,8791.836,5496.859,<0.667,314.823,2226.306,1752.986,546.911,2446.183,536.235,130.611,613.149,82.962,503.678,103.284,271.351,33.584,190.9,26.435
CRESS_028C HCl RedMud-X3,296.176,17636.041,518459.062,619841.822,<266.740,1530201.464,213.178,310.91,18736.064,28287.812,253.635,1032.786,5655.009,5809.24,17709.302,12188.29,<0.667,651.152,5446.442,4394.307,1250.423,5368.249,1108.179,261.889,1270.506,172.675,1067.587,221.49,608.457,74.779,447.285,63.936
CRESS_029C HCl RedMud-X3,244.84,21426.348,587886.358,725883.742,<266.740,1652424.217,206.699,410.772,23802.985,44063.772,323.284,1425.73,6639.599,7058.961,19558.835,14471.241,0.764,749.059,6729.26,5422.147,1502.321,6295.621,1327.703,316.999,1521.268,208.014,1241.747,264.758,713.392,88.414,528.824,77.38
CRESS_030C HCl RedMud-X3,289.241,20377.749,583583.737,713165.1,<266.740,1680463.731,198.37,378.642,22373.327,37497.425,306.284,1302.368,6461.537,6709.222,19543.952,14267.188,<0.667,749.26,6477.391,5218.323,1471.62,6301.982,1299.153,307.721,1505.07,200.986,1240.495,260.594,713.884,87.648,531.496,75.452
Blank Dithionite Red Mud ,<0.107,<98.016,97.734,1578.098,<266.740,2265.748,<2.608,10.902,29.02,392.868,0.759,7.087,44.991,14.839,7.589,1.15,0.744,1.354,0.522,2.022,0.167,0.48,0.226,0.046,0.301,0.018,0.073,0.022,<0.135,0.008,0.034,0
CRESS_022D Dithionite RedMud-X1,15.07,929.202,217.916,35938.304,<266.740,171177.478,<2.608,<10.167,841.337,94.974,2.018,30.582,403.368,13.897,598.718,58.394,1.905,1.739,3.218,6.597,0.652,3.571,1.142,0.354,2.619,0.312,2.466,0.602,2.078,0.248,1.328,0.234
CRESS_023D Dithionite RedMud-X1,16.96,453.227,7524.404,12252.944,<266.740,8219.684,<2.608,34.211,6948.816,3765.025,79.7,196.734,141.719,271.666,71.276,36.422,0.759,18.192,22.511,41.7,2.413,8.603,1.105,0.386,2.392,0.301,1.951,0.414,1.407,0.221,1.09,0.153
CRESS_024D Dithionite RedMud-X1,16.822,313.759,4197.779,21726.053,<266.740,41583.297,<2.608,19.687,314.231,112.465,2.198,17.544,107.659,32.706,224.868,64.183,0.768,4.751,14.637,16.133,2.552,11.778,2.726,0.647,4.969,0.457,4.138,0.974,2.305,0.288,1.834,0.298
CRESS_025D Dithionite RedMud-X2,31.085,755.147,1122.573,31022.329,<266.740,107176.834,<2.608,12.117,2165.583,83.764,9.674,38.689,718.946,111.148,914.862,180.264,<0.667,4.438,19.313,14.863,3.618,21.052,4.937,1.921,10.17,1.397,10.608,2.262,6.422,0.679,3.877,0.546
CRESS_026D Dithionite RedMud-X2,31.433,1024.139,437.595,33058.372,<266.740,132004.448,<2.608,11.547,2697.172,77.49,13.287,56.513,822.977,57.642,973.047,102.501,<0.667,3.616,7.982,8.199,1.622,10.406,2.852,0.721,5.288,0.721,5.095,1.292,3.809,0.442,2.598,0.253
CRESS_027D Dithionite RedMud-X2,32.818,909.743,456.974,33241.705,<266.740,130900.448,<2.608,14.492,1906.426,74.476,8.645,40.692,859.304,67.534,953.265,132.781,<0.667,3.493,8.937,8.587,1.885,11.275,3.411,0.959,7.354,0.901,7.087,1.646,5.041,0.501,2.943,0.431
CRESS_028D Dithionite RedMud-X3,<0.107,1017.363,3757.38,8052.311,<266.740,32268.582,2.772,28.782,10378.207,1019.216,103.542,232.496,195.927,392.282,332.808,162.691,<0.667,10.68,63.258,59.8,9.984,42.354,8.383,2.233,11.766,1.629,10.335,2.575,7.34,0.941,5.236,0.663
CRESS_029D Dithionite RedMud-X3,<0.107,1351.394,3752.882,5559.938,<266.740,28260.124,<2.608,35.112,14496.096,741.768,170.967,419.037,143.583,647.967,239.449,187.828,<0.667,9.252,64.29,51.744,8.028,33.487,6.174,1.486,9.902,1.341,10.301,2.516,6.892,0.933,5.349,0.809
CRESS_030D Dithionite RedMud-X3,<0.107,1237.097,2874.61,5244.796,<266.740,26357.471,<2.608,40.583,14216.63,987.753,160.976,361.744,132.668,579.463,243.79,151.296,<0.667,8.613,56.059,48.977,7.338,28.982,5.168,1.568,10.643,1.296,8.809,2.097,6.671,0.699,4.161,0.601
Blank Pyrophosphate Red Mud ,<0.107,550.301,206.303,1099.283,<266.740,2148.317,<2.608,13.043,11.653,254.651,0.29,13.444,36.203,28.805,8.08,0.386,18.022,16.382,0.549,1.715,0.039,0.081,0,0,0.025,0.005,0.08,0,<0.135,0.021,0.207,0.035
CRESS_022E pyrophosphate RedMud-X1,<0.107,827.836,224711.837,100287.418,<266.740,37661.229,124.277,77.217,2320.573,5301.185,9.236,38.242,270.914,391.163,145.901,1196.417,22.624,0.925,275.405,483.378,80.303,371.775,91.503,21.83,112.486,14.86,95.561,20.501,58.785,7.688,51.14,7.09
CRESS_023E pyrophosphate RedMud-X1,<0.107,657.733,6574.596,5917.637,<266.740,2372.24,138.16,26.1,757.046,6923.061,4.154,41.06,88.607,67.724,7.456,17.908,20.252,2.478,10.243,33.528,2.331,8.567,1.926,0.332,2.272,0.268,2.353,0.418,1.512,0.18,1.563,0.271
CRESS_024E pyrophosphate RedMud-X1,<0.107,1114.932,163707.529,89106.601,<266.740,75343.631,115.863,57.471,1845.799,4795.254,7.948,42.769,414.793,362.127,230.322,1119.411,20.563,1.055,259.037,436.252,76.59,353.225,82.427,20.259,106.445,13.802,89.835,19.7,56.043,7.212,46.198,6.815
CRESS_025E pyrophosphate RedMud-X2,<0.107,1299.62,156296.876,61821.777,<266.740,40906.965,179.438,25.348,4277.097,5711.997,17.679,60.48,1440.627,1911.043,165.523,2554.124,17.113,2.546,451.808,642.815,154.351,763.875,204.672,50.839,256.285,34.249,212.582,45.763,132.052,17.118,106.347,15.401
CRESS_026E pyrophosphate RedMud-X2,<0.107,845.655,60424.57,21445.079,<266.740,13219.21,77.777,17.425,1447.432,2735.782,5.912,28.574,467.191,638.099,63.832,772.654,15.721,1.858,109.436,165.138,41.178,195.463,54.304,13.88,70.299,9.395,59.024,13.228,38.3,5.135,34.862,5.239
CRESS_027E pyrophosphate RedMud-X2,<0.107,1231.86,136646.454,48319.852,<266.740,36107.92,167.474,25.715,4018.522,5601.626,16.936,61.615,1285.755,1859.212,154.396,2419.86,17.816,1.494,400.829,592.102,139.732,687.771,179.289,45.228,228.033,32.868,196.318,42.684,120.998,16.477,100.916,14.424
CRESS_028E pyrophosphate RedMud-X3,<0.107,978.728,7164.007,4941.48,<266.740,4061.646,180.044,21.268,1354.968,5823.726,4.714,43.534,161.327,111.387,8.93,132.142,15.542,0.834,23.85,45.209,8.121,37.7,8.256,2.444,10.689,1.509,10.364,2.065,7.596,1.123,8.148,1.306
CRESS_029E pyrophosphate RedMud-X3,<0.107,1053.725,7077.32,3988.268,<266.740,3763.127,279.503,13.841,2079.841,6613.751,9.273,69.701,126.273,135.453,5.954,147.368,17.183,<0.664,24.668,39.817,6.669,30.873,7.985,2.096,10.391,1.327,9.121,2.176,7.14,1.165,7.232,1.026
CRESS_030E pyrophosphate RedMud-X3,<0.107,947.149,7023.034,4076.494,<266.740,4055.058,279.276,16.629,1871.144,7211.061,8.221,63.39,130.637,132.153,6.906,154.532,12.569,1.002,26.927,45.015,7.445,34.795,7.864,2.222,11.036,1.586,10.196,2.243,7.796,1.039,8.36,1.398
