,Li,Mg,Al,Si,K,Ca,Sc,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Y,Mo,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
Blank_A,<10.672,19.94,<31.008,<18.229,<42.793,535.647,<0.953,<3.501,0.796,5.807,<0.052,<0.584,17.896,6.97,0.342,0.058,<0.070,0.877,0.031,0.018,0.007,0.023,0,0,0.009,<0.004,0,0,<0.027,0,0.007,0
CRESS_022_A_DTPA_X1,<53.359,161.86,9593.604,1413.448,2721.241,178056.387,323.872,8868.26,523.356,124.457,28.082,111.436,5781.051,4569.168,52.951,5422.451,76.705,<1.786,628.5,478.011,200.456,1086.216,276.841,73.292,400.916,59.97,425.221,97.613,283.377,35.429,211.889,31.063
CRESS_023_A_DTPA_X1,<53.359,188.592,3286.071,<91.146,2664.446,194606.426,470.695,8969.372,588.589,147.765,22.169,65.217,5642.366,4415.858,46.546,6348.683,76.216,<1.786,777.9,701.749,257.349,1337.656,339.54,90.043,477.041,69.964,489.782,113.792,328.872,41.27,251.206,36.809
CRESS_024_A_DTPA_X1,<53.359,191.444,3226.967,<91.146,1703.065,194359.972,503.837,8981.614,564.542,143.12,23.586,63.504,5754.688,4494.803,43.703,6397.996,76.76,<1.786,788.737,734.539,261.115,1388.991,343.663,91.243,483.005,70.619,496.565,116.669,332.315,42.417,258.899,38.89
CRESS_025_A_DTPA_X2,<53.359,506.793,1592.137,506.774,16514.29,161689.813,107.089,9702.648,872.531,116.818,52.569,37.075,15833.99,16642.393,77.751,9495.335,352.568,<1.786,253.411,281.929,130.217,879.275,305.747,89.286,530.303,86.88,639.709,163.886,496.199,65.297,404.683,59.944
CRESS_026_A_DTPA_X2,<53.359,547.817,1761.066,516.944,16588.515,154517.969,115.905,9700.696,906.926,117.555,50.379,38.433,15446.255,16215.111,82.832,9249.224,346.831,<1.786,276.703,305.344,136.402,892.798,300.36,88.96,527.332,85.585,636.503,157.591,484.563,63.88,388.459,59.27
CRESS_027_A_DTPA_X2,<53.359,532.562,1877.78,447.438,16372.118,158331.305,114.134,9597.397,896.971,109.69,50.532,38.75,15847.48,16774.704,84.465,9312.959,352.011,<1.786,282.502,301.816,135.95,891.445,307.794,90.113,535.243,85.313,638.168,160.175,477.383,64.527,399.479,61.021
CRESS_028_A_DTPA_X3,<53.359,181.206,2900.847,826.448,8825.734,168242.617,52.213,11152.228,1232.311,229.252,63.125,56.98,10955.271,11931.339,52.526,6512.445,250.828,<1.786,438.49,368.592,155.626,840.887,229.418,62.438,357.145,56.298,418.429,104.809,320.316,43.045,275.755,44.355
CRESS_029_A_DTPA_X3,<53.359,200.938,3227.44,628.754,8162.114,163522.424,45.7,11079.785,1054.377,166.202,60.749,53.992,11189.742,12113.213,54.649,6146.942,256.174,<1.786,416.66,349.811,146.723,800.524,207.624,60.276,343.514,53.657,398.644,99.453,302.922,41.576,260.835,41.965
CRESS_030_A_DTPA_X3,<53.359,186.928,2983.585,723.152,8654.167,168574.321,52.42,11123.024,1241.172,175.757,64.662,54.897,11205.154,12165.758,53.421,6515.778,242.441,<1.786,444.534,374.858,155.777,843.764,226.21,62.76,361.545,56.757,414.86,103.14,314.374,43.474,277.398,44.43
Blank_A,<10.672,14.159,<31.008,<18.229,<42.793,546.932,<0.953,<3.501,0.905,5.865,<0.052,<0.584,17.923,6.057,0.5,0.035,<0.070,0.76,0.021,0.021,0.003,0.03,0,0,0.004,<0.004,0,0,<0.027,0,0.003,0
CRESS_022_A_DTPA_X1,<10.672,154.921,10763.501,1687.192,3057.658,191722.439,328.186,9226.193,505.436,126.398,26.251,103.686,5564.601,4145.036,50.949,5517.418,72.571,0.752,652.272,491.375,208.863,1083.782,286.152,76.815,410.053,60.545,414.342,98.526,281.585,35.182,214.259,31.806
CRESS_023_A_DTPA_X1,<10.672,174.24,3788.363,472.251,3214.23,202672.863,513.114,9410.657,575.892,132.046,20.986,58.439,5390.451,4062.012,49.29,6434.203,73.683,0.522,790.999,722.808,263.382,1395.292,347.768,90.755,482.636,72.264,499.112,116.858,332.493,41.843,255.698,38.812
CRESS_024_A_DTPA_X1,<10.672,169.157,3501.423,386.743,3113.623,202505.935,533.741,9316.853,573.838,133.701,20.5,59.472,5444.11,4126.936,47.682,6507.853,75.039,<0.357,800.63,749.387,269.277,1399.601,355.353,94.576,491.812,73.163,506.766,118.28,339.095,41.887,262.482,39.049
CRESS_025_A_DTPA_X2,<10.672,515.912,1689.736,822.534,18230.049,154926.745,110.117,9504.887,859.886,106.736,45.889,32.489,14583.588,14715.346,76.399,9305.699,337.669,0.507,247.413,276.644,128.711,850.721,298.446,88.071,510.709,82.957,618.363,156.495,473.272,62.684,390.952,60.514
CRESS_026_A_DTPA_X2,<10.672,533.224,1984.003,804.661,17873.381,168319.848,117.886,10116.619,871.67,103.947,48.461,35.714,15563.397,15715.969,84.527,9703.065,353.152,0.393,290.947,313.656,140.932,904.841,314.354,92.818,535.522,88.728,636.498,159.057,482.094,63.409,392.799,61.276
CRESS_027_A_DTPA_X2,<10.672,521.985,1888.915,810.217,18049.853,166232.333,115.158,9986.102,888.755,110.062,48.06,35.165,15451.268,15750.725,81.573,9704.856,351.424,<0.357,288.281,312.331,141.821,921.317,321.097,93.241,544.547,89.675,655.904,165.099,496.643,64.835,404.535,63.152
CRESS_028_A_DTPA_X3,<10.672,195.943,3430.131,1132.153,10162.218,184849.076,60.992,12242.783,1192.172,180.895,62.473,55.456,11401.58,11890.887,58.593,6966.085,252.152,<0.357,482,411.9,173.379,879.114,246.987,68.761,387.933,63.204,430.897,106.093,324.539,44.256,286.497,47.2
CRESS_029_A_DTPA_X3,<10.672,156.929,3735.357,1048.584,10024.596,168182.343,48.622,11386.839,1062.996,160.45,57.541,50.236,11486.625,11765.377,55.997,6210.74,246.423,<0.357,440.544,366.896,154.422,806.52,222.858,62.073,351.809,56.209,404.871,100.574,307.822,40.774,266.64,43.604
CRESS_030_A_DTPA_X3,<10.672,185.992,3404.362,1095.599,10133.146,171957.566,52.711,11526.71,1213.446,166.502,58.769,53.719,10998.638,11389.866,55.168,6497.478,240.45,0.805,451.689,384.43,158.831,842.766,232.785,65.335,366.875,58.154,409.175,101.697,314.078,42.099,272.525,44.379
