,Li,Al,Si,Sc,Cr,Mn,Fe,Co ,Ni,Cu,Zn,Sr,Y,Mo,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
Blank_M,<25,<155,731.679,<6.8,<9,8.556,13.309,<0.425,3.025,27.661,181.068,25.195,0.354,38.752,52.278,4.046,1.89,0.328,1.162,0.097,0,0.151,0.005,0.021,0.01,<0.062,0,0.019,0
CRESS_031M_Tessier,<25,<155,<350,<6.8,<9,433.464,36.281,1.252,<1.606,36.479,20.317,1268.526,1.003,1.189,3037.833,0.475,1.209,0.101,0.588,0.338,0.075,0.121,0.061,0.176,0.029,<0.062,0.02,0.019,0
CRESS_032M_Tessier,<25,<155,<350,<6.8,<9,2.146,8.398,<0.425,<1.606,20.241,11.131,402.285,0.058,2.432,705.771,0.127,0.562,0.007,0,0,0.022,0,0.017,0.039,0.009,<0.062,0.012,0.017,0.008
CRESS_033M_Tessier,<25,<155,<350,<6.8,<9,232.194,29.861,0.769,2.157,26.012,68.38,1144.543,0.703,18.613,956.909,0.632,1.446,0.123,0.827,0.091,0.092,0.07,0.009,0.098,0.023,<0.062,0.004,0.125,0
CRESS_034M_Tessier,<25,<155,<350,<6.8,<9,37.08,171.563,1.745,26.432,45.51,21.165,1584.151,2.009,0.839,5858.8,1.392,2.711,0.348,1.986,0.454,0.114,0.603,0.071,0.215,0.064,0.266,0.033,0.213,0.051
CRESS_035M_Tessier,<25,<155,<350,<6.8,<9,22.505,7.658,<0.425,8.034,19.35,14.678,810.26,0.772,0.848,4295.815,0.775,0.52,0.095,0.434,0.091,0.035,0.163,0.004,0.197,0.032,<0.062,0.008,0.054,0
CRESS_036M_Tessier,<25,<155,667.822,<6.8,<9,7.941,<5.6,<0.425,<1.6,37.994,31.77,451.928,0.087,5.968,429.525,0.099,0.393,0.044,0.12,0,0.012,0,0.014,0,0.005,<0.062,0.004,0,0.009
CRESS_037M_Tessier,<25,<155,900.386,<6.8,1781.632,1.656,<5.6,0.792,<1.6,23.438,9.688,107.56,2.681,9.624,1.354,0.057,0.026,0.015,0.04,0.046,0.023,0.047,0.005,0.079,0.033,0.111,0,0.072,0.009
CRESS_038M_Tessier,70.583,<155,404.984,<6.8,2608.505,1.687,22.983,<0.425,<1.6,32.705,30.696,215.887,5.638,86.946,1.39,0.091,0.204,0.044,0.122,0,0,0.094,0,0.081,0.033,0.195,0.072,0.403,0.088
